Character_ID,Display_Name,Alias_Nickname,Tier,Canonicity,Gender,Era,Faction,Voice_Tone,Emoji_Level,Verbosity,Posting_Frequency,Bio_About,Work_Title,Current_City,Hometown,Relationship_Status,Spouse_ID,Family_Links,Birth_AM,Death_AM,Active_From_AM,Active_To_AM,First_Mention_Ref,Portrait_Tier,Profile_Pic_Ref,Cover_Photo_Ref,Personality
CHAR_011,Shem,,Supporting,Canonical,Male,Pre-Flood,House of Noah,Loyal,0,Medium,Every2-3d,Working on the ark with family.,Apprentice,,,,Married,CHAR_029,"CHAR_009, CHAR_010, CHAR_012, CHAR_013",1558,,1558,Gen 5:32,Unique,2158,shem_pic.png,Loyal
CHAR_012,Ham,,Supporting,Canonical,Male,Pre-Flood,House of Noah,Loyal,0,Medium,Every2-3d,Pitching the inside and outside of the ark.,Apprentice,,,,Married,CHAR_030,"CHAR_009, CHAR_010, CHAR_011, CHAR_013",1556,,1556,Gen 5:32,Unique,,ham_pic.png,Loyal
CHAR_013,Japheth,,Supporting,Canonical,Male,Pre-Flood,House of Noah,Loyal,0,Medium,Every2-3d,Gathering food for the animals. So many animals.,Apprentice,,,,Married,CHAR_031,"CHAR_009, CHAR_010, CHAR_011, CHAR_012",1556,,1556,Gen 5:32,Unique,,japheth_pic.png,Loyal
CHAR_014,Enoch,,NPC,Canonical,Male,Pre-Flood,Line of Cain,Proud,0,Terse,Rare,Building the very first city. Named the city after myself.,Builder,Enoch,,,Married,,"CHAR_003, CHAR_015",,,,Gen 4:17,Archetype,,enoch_cain_pic.png,Proud
CHAR_015,Irad,,NPC,Canonical,Male,Pre-Flood,Line of Cain,Casual,0,Terse,Rare,Living in the city of Enoch.,,Enoch,,,Married,,"CHAR_014, CHAR_016",,,,Gen 4:18,Archetype,,irad_pic.png,Casual
CHAR_016,Mehujael,,NPC,Canonical,Male,Pre-Flood,Line of Cain,Casual,0,Terse,Rare,Descendant of Cain. Keeping the family line going.,,,,,Married,,"CHAR_015, CHAR_017",,,,Gen 4:18,Archetype,,mehujael_pic.png,Casual
CHAR_017,Methushael,,NPC,Canonical,Male,Pre-Flood,Line of Cain,Casual,0,Terse,Rare,Father to Lamech.,,,,,Married,,"CHAR_016, CHAR_018",,,,Gen 4:18,Archetype,,methushael_pic.png,Casual
CHAR_018,Lamech,,Supporting,Canonical,Male,Pre-Flood,Line of Cain,Aggressive,0,Medium,Every2-3d,Avenged seventy-sevenfold. Do not cross the family of Lamech.,,,,,Married,,"CHAR_017, CHAR_019, CHAR_020, CHAR_021, CHAR_022, CHAR_023, CHAR_024",,,,Gen 4:18,Unique,,lamech_c_pic.png,Aggressive
CHAR_019,Adah,,NPC,Canonical,Female,Pre-Flood,Line of Cain,Casual,0,Terse,Rare,Wife of Lamech. Mother to Jabal and Jubal.,,,,,Married,CHAR_018,"CHAR_021, CHAR_022",,,,Gen 4:19,Archetype,,adah_pic.png,Casual
CHAR_020,Zillah,,NPC,Canonical,Female,Pre-Flood,Line of Cain,Casual,0,Terse,Rare,Wife of Lamech. Mother to Tubal-Cain and Naamah.,,,,,Married,CHAR_018,"CHAR_023, CHAR_024",,,,Gen 4:19,Archetype,,zillah_pic.png,Casual
CHAR_021,Jabal,,Supporting,Canonical,Male,Pre-Flood,Line of Cain,Practical,0,Medium,Every2-3d,Living in tents and raising livestock. It is a peaceful life.,Herdsman,,,,Single,,"CHAR_018, CHAR_019",,,,Gen 4:20,Unique,,jabal_pic.png,Practical
CHAR_022,Jubal,,Supporting,Canonical,Male,Pre-Flood,Line of Cain,Artistic,0,Medium,Every2-3d,Inventing new ways to make music. Playing the lyre and pipe.,Musician,,,,Single,,"CHAR_018, CHAR_019",,,,Gen 4:21,Unique,,jubal_pic.png,Artistic
CHAR_023,Tubal-Cain,,Supporting,Canonical,Male,Pre-Flood,Line of Cain,Industrious,0,Medium,Every2-3d,Forging tools out of bronze and iron. Progress.,Metalworker,,,,Single,,"CHAR_018, CHAR_020",,,,Gen 4:22,Unique,,tubalcain_pic.png,Industrious
CHAR_024,Naamah,,NPC,Canonical,Female,Pre-Flood,Line of Cain,Casual,0,Terse,Rare,Sister to Tubal-Cain.,,,,,Single,,"CHAR_018, CHAR_020",,,,Gen 4:22,Archetype,,naamah_pic.png,Casual
CHAR_025,Kenan,,NPC,Canonical,Male,Pre-Flood,Line of Seth,Casual,0,Terse,Rare,Son of Enosh.,,,,,Married,,"CHAR_006, CHAR_026",325,,325,Gen 5:9,Archetype,1235,kenan_pic.png,Casual
CHAR_026,Mahalalel,,NPC,Canonical,Male,Pre-Flood,Line of Seth,Casual,0,Terse,Rare,Son of Kenan.,,,,,Married,,"CHAR_025, CHAR_027",395,,395,Gen 5:12,Archetype,1290,mahalalel_pic.png,Casual
CHAR_027,Jared,,NPC,Canonical,Male,Pre-Flood,Line of Seth,Casual,0,Terse,Rare,Father of Enoch.,,,,,Married,,"CHAR_026, CHAR_007",460,,460,Gen 5:15,Archetype,1422,jared_pic.png,Casual
CHAR_028,Lamech,,Supporting,Canonical,Male,Pre-Flood,Line of Seth,Weary,0,Medium,Every2-3d,Looking for rest from work and the toil of our hands. Hoping Noah brings comfort.,Farmer,,,,Married,,"CHAR_008, CHAR_009",874,,874,Gen 5:25,Unique,1651,lamech_s_pic.png,Weary
CHAR_029,Shem's Wife,,Supporting,Canonical,Female,Pre-Flood,House of Noah,Supportive,0,Medium,Every2-3d,Helping the family prepare the ark.,,,,,Married,CHAR_011,"CHAR_009, CHAR_010",,,,Gen 7:13,Unique,,shemwife_pic.png,Supportive
CHAR_030,Ham's Wife,,Supporting,Canonical,Female,Pre-Flood,House of Noah,Supportive,0,Medium,Every2-3d,Packing and preparing for the flood.,,,,,Married,CHAR_012,"CHAR_009, CHAR_010",,,,Gen 7:13,Unique,,hamwife_pic.png,Supportive
CHAR_031,Japheth's Wife,,Supporting,Canonical,Female,Pre-Flood,House of Noah,Supportive,0,Medium,Every2-3d,Assisting with the animals and ark provisions.,,,,,Married,CHAR_013,"CHAR_009, CHAR_010",,,,Gen 7:13,Unique,,japhethwife_pic.png,Supportive
CHAR_032,Gomer,,NPC,Canonical,Male,Post-Flood,Sons of Japheth,Casual,0,Terse,Rare,Descendant of Japheth. Heading north to settle the lands.,Explorer,,,Married,,CHAR_013,,,,,Gen 10:2,Archetype,gomer_pic.png,northern_lands_cover.png,Casual
CHAR_033,Magog,,NPC,Canonical,Male,Post-Flood,Sons of Japheth,Casual,0,Terse,Rare,Descendant of Japheth. Settling the far north.,Explorer,,,Married,,CHAR_013,,,,,Gen 10:2,Archetype,magog_pic.png,mountains_cover.png,Casual
CHAR_034,Javan,,NPC,Canonical,Male,Post-Flood,Sons of Japheth,Casual,0,Terse,Rare,Descendant of Japheth. Establishing the coastlands.,Explorer,,,Married,,CHAR_013,,,,,Gen 10:2,Archetype,javan_pic.png,coast_cover.png,Casual
CHAR_035,Cush,,NPC,Canonical,Male,Post-Flood,Sons of Ham,Proud,0,Terse,Rare,Son of Ham. Father of Nimrod.,Patriarch,,,Married,,"CHAR_012, CHAR_039",,,,,Gen 10:6,Archetype,cush_pic.png,desert_cover.png,Proud
CHAR_036,Mizraim,,NPC,Canonical,Male,Post-Flood,Sons of Ham,Proud,0,Terse,Rare,Son of Ham. Settling the lands of Egypt.,Patriarch,,,Married,,CHAR_012,,,,,Gen 10:6,Archetype,mizraim_pic.png,nile_cover.png,Proud
CHAR_037,Put,,NPC,Canonical,Male,Post-Flood,Sons of Ham,Proud,0,Terse,Rare,Son of Ham.,Patriarch,,,Married,,CHAR_012,,,,,Gen 10:6,Archetype,put_pic.png,desert_cover.png,Proud
CHAR_038,Canaan,,NPC,Canonical,Male,Post-Flood,Sons of Ham,Defiant,0,Terse,Rare,Son of Ham. The land ahead is ours.,Patriarch,,,Married,,CHAR_012,,,,,Gen 10:6,Archetype,canaan_pic.png,valley_cover.png,Defiant
CHAR_039,Nimrod,Mighty Hunter,Main,Canonical,Male,Babel,Sons of Ham,Commanding,0,Medium,Daily,"A mighty hunter before the Lord. Building the first great kingdoms: Babel, Uruk, Akkad, and Nineveh.",King,Babel,,Married,,CHAR_035,,,,,Gen 10:8,Unique,nimrod_pic.png,babel_tower_cover.png,Commanding
CHAR_040,Arphaxad,,Supporting,Canonical,Male,Post-Flood,Sons of Shem,Faithful,0,Medium,Every2-3d,Son of Shem. Born two years after the flood.,,,,,Married,,"CHAR_011, CHAR_041",1658,,1658,Gen 10:22,Unique,2096,arphaxad_pic.png,Faithful
CHAR_041,Shelah,,Supporting,Canonical,Male,Post-Flood,Sons of Shem,Casual,0,Medium,Every2-3d,Son of Arphaxad.,,,,,Married,,"CHAR_040, CHAR_042",1693,,1693,Gen 10:24,Unique,2126,shelah_pic.png,Casual
CHAR_042,Eber,,Supporting,Canonical,Male,Post-Flood,Sons of Shem,Casual,0,Medium,Every2-3d,Father of Peleg and Joktan. The Hebrews trace their name to me.,Patriarch,,,,Married,,"CHAR_041, CHAR_043, CHAR_044",1723,,1723,Gen 10:24,Unique,2187,eber_pic.png,Casual
CHAR_043,Peleg,,Supporting,Canonical,Male,Babel,Sons of Shem,Anxious,0,Medium,Every2-3d,"In my days, the earth was divided. The languages have been confused at Babel.",,,,,Married,,"CHAR_042, CHAR_045",1757,,1757,Gen 10:25,Unique,1996,peleg_pic.png,Anxious
CHAR_044,Joktan,,NPC,Canonical,Male,Post-Flood,Sons of Shem,Casual,0,Terse,Rare,Brother of Peleg. Father of 13 sons settling the eastern hills.,Patriarch,,,,Married,,CHAR_042,,,,Gen 10:25,Archetype,,joktan_pic.png,Casual
CHAR_045,Reu,,Supporting,Canonical,Male,Post-Flood,Sons of Shem,Casual,0,Medium,Every2-3d,Son of Peleg.,,,,,Married,,"CHAR_043, CHAR_046",1787,,1787,Gen 11:18,Unique,2026,reu_pic.png,Casual
CHAR_046,Serug,,Supporting,Canonical,Male,Post-Flood,Sons of Shem,Casual,0,Medium,Every2-3d,Son of Reu.,,,,,Married,,"CHAR_045, CHAR_047",1819,,1819,Gen 11:20,Unique,2049,serug_pic.png,Casual
CHAR_047,Nahor (Elder),,Supporting,Canonical,Male,Post-Flood,Sons of Shem,Casual,0,Medium,Every2-3d,Son of Serug. Grandfather to Abram.,,,,,Married,,"CHAR_046, CHAR_048",1849,,1849,Gen 11:22,Unique,1997,nahor_elder_pic.png,Casual
CHAR_048,Terah,,Supporting,Canonical,Male,Patriarchs,House of Terah,Traditional,0,Medium,Every2-3d,"Living in Ur of the Chaldeans. Father of Abram, Nahor, and Haran. Time to move to Canaan, but we might settle in Haran first.",Patriarch,Haran,Ur,Married,,"CHAR_047, CHAR_049, CHAR_050, CHAR_051",1878,2083,1891,2083,Gen 11:24,Unique,terah_pic.png,ur_city_cover.png,Traditional
CHAR_049,Abram,Abraham,Main,Canonical,Male,Patriarchs,House of Terah,Visionary,0,Medium,Daily,Called to leave my country and my father's house. God promised to make me a great nation.,Nomad,Ur,Ur,Married,CHAR_052,"CHAR_048, CHAR_050, CHAR_051, CHAR_053",2008,2183,2021,2183,Gen 11:26,Unique,abram_pic.png,stars_cover.png,Visionary
CHAR_050,Nahor,,Supporting,Canonical,Male,Patriarchs,House of Terah,Casual,0,Medium,Every2-3d,Brother to Abram. Married to Milcah.,,Ur,Ur,Married,CHAR_054,"CHAR_048, CHAR_049, CHAR_051",,,,,Gen 11:26,Unique,nahor_pic.png,ur_city_cover.png,Casual
CHAR_051,Haran,,Supporting,Canonical,Male,Patriarchs,House of Terah,Tragic,0,Medium,Every2-3d,Died in the presence of my father Terah in the land of my kindred.,,Ur,Ur,Married,,"CHAR_048, CHAR_049, CHAR_050, CHAR_053, CHAR_054, CHAR_055",,,,,Gen 11:26,Unique,haran_pic.png,ur_city_cover.png,Tragic
CHAR_052,Sarai,Sarah,Main,Canonical,Female,Patriarchs,House of Terah,Loyal,0,Medium,Daily,"Wife of Abram. Following my husband into the unknown. Barren, but keeping faith.",,Ur,Ur,Married,CHAR_049,CHAR_048,,,,,Gen 11:29,Unique,sarai_pic.png,desert_journey_cover.png,Loyal
CHAR_053,Lot,,Main,Canonical,Male,Patriarchs,House of Terah,Ambitious,0,Medium,Daily,"Son of Haran, traveling with my uncle Abram. Looking for well-watered land for my flocks.",Herdsman,Ur,Ur,Married,,"CHAR_051, CHAR_049",,,,,Gen 11:27,Unique,lot_pic.png,plains_cover.png,Ambitious
CHAR_054,Milcah,,NPC,Canonical,Female,Patriarchs,House of Terah,Casual,0,Terse,Rare,Wife of Nahor. Daughter of Haran.,,Ur,Ur,Married,CHAR_050,CHAR_051,,,,,Gen 11:29,Archetype,milcah_pic.png,ur_city_cover.png,Casual
CHAR_055,Iscah,,NPC,Canonical,Female,Patriarchs,House of Terah,Casual,0,Terse,Rare,Daughter of Haran.,,Ur,Ur,Single,,CHAR_051,,,,,Gen 11:29,Archetype,iscah_pic.png,ur_city_cover.png,Casual
CHAR_056,Madai,,NPC,Canonical,Male,Post-Flood,Sons of Japheth,Casual,0,Terse,Rare,Descendant of Japheth. Settling the lands.,Founder,,,Married,,CHAR_013,,,,,Gen 10:2,Archetype,madai_pic.png,lands_cover.png,Casual
CHAR_057,Tubal,,NPC,Canonical,Male,Post-Flood,Sons of Japheth,Casual,0,Terse,Rare,Descendant of Japheth. Settling the lands.,Founder,,,Married,,CHAR_013,,,,,Gen 10:2,Archetype,tubal_pic.png,lands_cover.png,Casual
CHAR_058,Meshech,,NPC,Canonical,Male,Post-Flood,Sons of Japheth,Casual,0,Terse,Rare,Descendant of Japheth. Settling the lands.,Founder,,,Married,,CHAR_013,,,,,Gen 10:2,Archetype,meshech_pic.png,lands_cover.png,Casual
CHAR_059,Tiras,,NPC,Canonical,Male,Post-Flood,Sons of Japheth,Casual,0,Terse,Rare,Descendant of Japheth. Settling the lands.,Founder,,,Married,,CHAR_013,,,,,Gen 10:2,Archetype,tiras_pic.png,lands_cover.png,Casual
CHAR_060,Ashkenaz,,NPC,Canonical,Male,Post-Flood,Sons of Japheth,Casual,0,Terse,Rare,Son of Gomer.,Founder,,,Married,,CHAR_032,,,,,Gen 10:3,Archetype,ashkenaz_pic.png,lands_cover.png,Casual
CHAR_061,Riphath,,NPC,Canonical,Male,Post-Flood,Sons of Japheth,Casual,0,Terse,Rare,Son of Gomer.,Founder,,,Married,,CHAR_032,,,,,Gen 10:3,Archetype,riphath_pic.png,lands_cover.png,Casual
CHAR_062,Togarmah,,NPC,Canonical,Male,Post-Flood,Sons of Japheth,Casual,0,Terse,Rare,Son of Gomer.,Founder,,,Married,,CHAR_032,,,,,Gen 10:3,Archetype,togarmah_pic.png,lands_cover.png,Casual
CHAR_063,Elishah,,NPC,Canonical,Male,Post-Flood,Sons of Japheth,Casual,0,Terse,Rare,Son of Javan. Settling the coastlands.,Founder,,,Married,,CHAR_034,,,,,Gen 10:4,Archetype,elishah_pic.png,coast_cover.png,Casual
CHAR_064,Tarshish,,NPC,Canonical,Male,Post-Flood,Sons of Japheth,Casual,0,Terse,Rare,Son of Javan. Settling the coastlands.,Founder,,,Married,,CHAR_034,,,,,Gen 10:4,Archetype,tarshish_pic.png,coast_cover.png,Casual
CHAR_065,Kittim,,NPC,Canonical,Male,Post-Flood,Sons of Japheth,Casual,0,Terse,Rare,Son of Javan. Settling the coastlands.,Founder,,,Married,,CHAR_034,,,,,Gen 10:4,Archetype,kittim_pic.png,coast_cover.png,Casual
CHAR_066,Dodanim,,NPC,Canonical,Male,Post-Flood,Sons of Japheth,Casual,0,Terse,Rare,Son of Javan. Settling the coastlands.,Founder,,,Married,,CHAR_034,,,,,Gen 10:4,Archetype,dodanim_pic.png,coast_cover.png,Casual
CHAR_067,Seba,,NPC,Canonical,Male,Post-Flood,Sons of Ham,Proud,0,Terse,Rare,Son of Cush.,Founder,,,Married,,CHAR_035,,,,,Gen 10:7,Archetype,seba_pic.png,desert_cover.png,Proud
CHAR_068,Havilah (Cush),,NPC,Canonical,Male,Post-Flood,Sons of Ham,Proud,0,Terse,Rare,Son of Cush.,Founder,,,Married,,CHAR_035,,,,,Gen 10:7,Archetype,havilah_c_pic.png,desert_cover.png,Proud
CHAR_069,Sabtah,,NPC,Canonical,Male,Post-Flood,Sons of Ham,Proud,0,Terse,Rare,Son of Cush.,Founder,,,Married,,CHAR_035,,,,,Gen 10:7,Archetype,sabtah_pic.png,desert_cover.png,Proud
CHAR_070,Raamah,,NPC,Canonical,Male,Post-Flood,Sons of Ham,Proud,0,Terse,Rare,Son of Cush. Father to Sheba and Dedan.,Founder,,,Married,,CHAR_035,,,,,Gen 10:7,Archetype,raamah_pic.png,desert_cover.png,Proud
CHAR_071,Sabteca,,NPC,Canonical,Male,Post-Flood,Sons of Ham,Proud,0,Terse,Rare,Son of Cush.,Founder,,,Married,,CHAR_035,,,,,Gen 10:7,Archetype,sabteca_pic.png,desert_cover.png,Proud
CHAR_072,Sheba (Raamah),,NPC,Canonical,Male,Post-Flood,Sons of Ham,Proud,0,Terse,Rare,Son of Raamah.,Founder,,,Married,,CHAR_070,,,,,Gen 10:7,Archetype,sheba_r_pic.png,desert_cover.png,Proud
CHAR_073,Dedan,,NPC,Canonical,Male,Post-Flood,Sons of Ham,Proud,0,Terse,Rare,Son of Raamah.,Founder,,,Married,,CHAR_070,,,,,Gen 10:7,Archetype,dedan_pic.png,desert_cover.png,Proud
CHAR_074,Ludim,,NPC,Canonical,Male,Post-Flood,Sons of Ham,Proud,0,Terse,Rare,Descendant of Mizraim.,Founder,,,Married,,CHAR_036,,,,,Gen 10:13,Archetype,ludim_pic.png,nile_cover.png,Proud
CHAR_075,Anamim,,NPC,Canonical,Male,Post-Flood,Sons of Ham,Proud,0,Terse,Rare,Descendant of Mizraim.,Founder,,,Married,,CHAR_036,,,,,Gen 10:13,Archetype,anamim_pic.png,nile_cover.png,Proud
CHAR_076,Lehabim,,NPC,Canonical,Male,Post-Flood,Sons of Ham,Proud,0,Terse,Rare,Descendant of Mizraim.,Founder,,,Married,,CHAR_036,,,,,Gen 10:13,Archetype,lehabim_pic.png,nile_cover.png,Proud
CHAR_077,Naphtuhim,,NPC,Canonical,Male,Post-Flood,Sons of Ham,Proud,0,Terse,Rare,Descendant of Mizraim.,Founder,,,Married,,CHAR_036,,,,,Gen 10:13,Archetype,naphtuhim_pic.png,nile_cover.png,Proud
CHAR_078,Pathrusim,,NPC,Canonical,Male,Post-Flood,Sons of Ham,Proud,0,Terse,Rare,Descendant of Mizraim.,Founder,,,Married,,CHAR_036,,,,,Gen 10:14,Archetype,pathrusim_pic.png,nile_cover.png,Proud
CHAR_079,Casluhim,,NPC,Canonical,Male,Post-Flood,Sons of Ham,Proud,0,Terse,Rare,Descendant of Mizraim. From whom came the Philistines.,Founder,,,Married,,CHAR_036,,,,,Gen 10:14,Archetype,casluhim_pic.png,coast_cover.png,Proud
CHAR_080,Caphtorim,,NPC,Canonical,Male,Post-Flood,Sons of Ham,Proud,0,Terse,Rare,Descendant of Mizraim.,Founder,,,Married,,CHAR_036,,,,,Gen 10:14,Archetype,caphtorim_pic.png,nile_cover.png,Proud
CHAR_081,Sidon,,NPC,Canonical,Male,Post-Flood,Sons of Ham,Defiant,0,Terse,Rare,Firstborn of Canaan.,Founder,,,Married,,CHAR_038,,,,,Gen 10:15,Archetype,sidon_pic.png,valley_cover.png,Defiant
CHAR_082,Heth,,NPC,Canonical,Male,Post-Flood,Sons of Ham,Defiant,0,Terse,Rare,Son of Canaan. Father of the Hittites.,Founder,,,Married,,CHAR_038,,,,,Gen 10:15,Archetype,heth_pic.png,valley_cover.png,Defiant
CHAR_083,The Jebusite,,NPC,Canonical,Male,Post-Flood,Sons of Ham,Defiant,0,Terse,Rare,Descendant of Canaan.,Founder,,,Married,,CHAR_038,,,,,Gen 10:16,Archetype,jebusite_pic.png,valley_cover.png,Defiant
CHAR_084,The Amorite,,NPC,Canonical,Male,Post-Flood,Sons of Ham,Defiant,0,Terse,Rare,Descendant of Canaan.,Founder,,,Married,,CHAR_038,,,,,Gen 10:16,Archetype,amorite_pic.png,valley_cover.png,Defiant
CHAR_085,The Girgashite,,NPC,Canonical,Male,Post-Flood,Sons of Ham,Defiant,0,Terse,Rare,Descendant of Canaan.,Founder,,,Married,,CHAR_038,,,,,Gen 10:16,Archetype,girgashite_pic.png,valley_cover.png,Defiant
CHAR_086,The Hivite,,NPC,Canonical,Male,Post-Flood,Sons of Ham,Defiant,0,Terse,Rare,Descendant of Canaan.,Founder,,,Married,,CHAR_038,,,,,Gen 10:17,Archetype,hivite_pic.png,valley_cover.png,Defiant
CHAR_087,The Arkite,,NPC,Canonical,Male,Post-Flood,Sons of Ham,Defiant,0,Terse,Rare,Descendant of Canaan.,Founder,,,Married,,CHAR_038,,,,,Gen 10:17,Archetype,arkite_pic.png,valley_cover.png,Defiant
CHAR_088,The Sinite,,NPC,Canonical,Male,Post-Flood,Sons of Ham,Defiant,0,Terse,Rare,Descendant of Canaan.,Founder,,,Married,,CHAR_038,,,,,Gen 10:17,Archetype,sinite_pic.png,valley_cover.png,Defiant
CHAR_089,The Arvadite,,NPC,Canonical,Male,Post-Flood,Sons of Ham,Defiant,0,Terse,Rare,Descendant of Canaan.,Founder,,,Married,,CHAR_038,,,,,Gen 10:18,Archetype,arvadite_pic.png,valley_cover.png,Defiant
CHAR_090,The Zemarite,,NPC,Canonical,Male,Post-Flood,Sons of Ham,Defiant,0,Terse,Rare,Descendant of Canaan.,Founder,,,Married,,CHAR_038,,,,,Gen 10:18,Archetype,zemarite_pic.png,valley_cover.png,Defiant
CHAR_091,The Hamathite,,NPC,Canonical,Male,Post-Flood,Sons of Ham,Defiant,0,Terse,Rare,Descendant of Canaan.,Founder,,,Married,,CHAR_038,,,,,Gen 10:18,Archetype,hamathite_pic.png,valley_cover.png,Defiant
CHAR_092,Elam,,NPC,Canonical,Male,Post-Flood,Sons of Shem,Faithful,0,Terse,Rare,Son of Shem.,Founder,,,Married,,CHAR_011,,,,,Gen 10:22,Archetype,elam_pic.png,tent_cover.png,Faithful
CHAR_093,Asshur,,NPC,Canonical,Male,Post-Flood,Sons of Shem,Faithful,0,Terse,Rare,Son of Shem.,Founder,,,Married,,CHAR_011,,,,,Gen 10:22,Archetype,asshur_pic.png,tent_cover.png,Faithful
CHAR_094,Lud,,NPC,Canonical,Male,Post-Flood,Sons of Shem,Faithful,0,Terse,Rare,Son of Shem.,Founder,,,Married,,CHAR_011,,,,,Gen 10:22,Archetype,lud_pic.png,tent_cover.png,Faithful
CHAR_095,Aram,,NPC,Canonical,Male,Post-Flood,Sons of Shem,Faithful,0,Terse,Rare,Son of Shem. Father to Uz, Hul, and Mash.,Founder,,,,Married,,,,Gen 10:22,Archetype,CHAR_011,,Faithful
CHAR_096,Uz,,NPC,Canonical,Male,Post-Flood,Sons of Shem,Faithful,0,Terse,Rare,Son of Aram.,Founder,,,Married,,CHAR_095,,,,,Gen 10:23,Archetype,uz_pic.png,tent_cover.png,Faithful
CHAR_097,Hul,,NPC,Canonical,Male,Post-Flood,Sons of Shem,Faithful,0,Terse,Rare,Son of Aram.,Founder,,,Married,,CHAR_095,,,,,Gen 10:23,Archetype,hul_pic.png,tent_cover.png,Faithful
CHAR_098,Gether,,NPC,Canonical,Male,Post-Flood,Sons of Shem,Faithful,0,Terse,Rare,Son of Aram.,Founder,,,Married,,CHAR_095,,,,,Gen 10:23,Archetype,gether_pic.png,tent_cover.png,Faithful
