Source_ID,Source_Name,Target_ID,Target_Name,Type,Mutual
CHAR_005,Seth,CHAR_028,Lamech,faction-tie,yes
CHAR_005,Seth,CHAR_658,Tirae,faction-tie,yes
CHAR_005,Seth,CHAR_003,Cain,follows,no
CHAR_005,Seth,CHAR_004,Abel,follows,no
CHAR_005,Seth,CHAR_007,Enoch,follows,no
CHAR_005,Seth,CHAR_009,Noah,follows,no
CHAR_005,Seth,CHAR_010,Noah's Wife,follows,no
CHAR_005,Seth,CHAR_013,Japheth,follows,no
CHAR_005,Seth,CHAR_012,Ham,follows,no
CHAR_005,Seth,CHAR_031,Japheth's Wife,follows,no
CHAR_005,Seth,CHAR_895,Sela the Homemaker,acquaintance,yes
CHAR_006,Enosh,CHAR_916,Gader the Smith,faction-tie,yes
CHAR_006,Enosh,CHAR_913,Maron the Water-carrier,faction-tie,yes
CHAR_006,Enosh,CHAR_912,Nila of Plains,faction-tie,yes
CHAR_006,Enosh,CHAR_027,Jared,faction-tie,yes
CHAR_006,Enosh,CHAR_901,Penit of Nod,faction-tie,yes
CHAR_006,Enosh,CHAR_003,Cain,follows,no
CHAR_006,Enosh,CHAR_004,Abel,follows,no
CHAR_006,Enosh,CHAR_007,Enoch,follows,no
CHAR_006,Enosh,CHAR_009,Noah,follows,no
CHAR_006,Enosh,CHAR_010,Noah's Wife,follows,no
CHAR_006,Enosh,CHAR_011,Shem,follows,no
CHAR_006,Enosh,CHAR_022,Jubal,follows,no
CHAR_006,Enosh,CHAR_021,Jabal,follows,no
CHAR_006,Enosh,CHAR_902,Hodal of Nod,acquaintance,yes
CHAR_007,Enoch,CHAR_891,Doreth of Enoch,faction-tie,yes
CHAR_007,Enoch,CHAR_916,Gader the Smith,faction-tie,yes
CHAR_007,Enoch,CHAR_901,Penit of Nod,faction-tie,yes
CHAR_007,Enoch,CHAR_003,Cain,follows,no
CHAR_007,Enoch,CHAR_004,Abel,follows,no
CHAR_007,Enoch,CHAR_009,Noah,follows,no
CHAR_007,Enoch,CHAR_010,Noah's Wife,follows,no
CHAR_007,Enoch,CHAR_013,Japheth,follows,no
CHAR_007,Enoch,CHAR_022,Jubal,follows,no
CHAR_007,Enoch,CHAR_902,Hodal of Nod,acquaintance,yes
CHAR_007,Enoch,CHAR_011,Shem,acquaintance,yes
CHAR_007,Enoch,CHAR_010,Noah's Wife,acquaintance,yes
CHAR_008,Methuselah,CHAR_912,Nila of Plains,faction-tie,yes
CHAR_008,Methuselah,CHAR_664,Maren,faction-tie,yes
CHAR_008,Methuselah,CHAR_901,Penit of Nod,faction-tie,yes
CHAR_008,Methuselah,CHAR_028,Lamech,faction-tie,yes
CHAR_008,Methuselah,CHAR_891,Doreth of Enoch,faction-tie,yes
CHAR_008,Methuselah,CHAR_003,Cain,follows,no
CHAR_008,Methuselah,CHAR_007,Enoch,follows,no
CHAR_008,Methuselah,CHAR_009,Noah,follows,no
CHAR_008,Methuselah,CHAR_010,Noah's Wife,follows,no
CHAR_008,Methuselah,CHAR_018,Lamech,follows,no
CHAR_008,Methuselah,CHAR_012,Ham,follows,no
CHAR_008,Methuselah,CHAR_022,Jubal,acquaintance,yes
CHAR_008,Methuselah,CHAR_661,Naveh,acquaintance,yes
CHAR_008,Methuselah,CHAR_889,Maziah of Enoch,acquaintance,yes
CHAR_009,Noah,CHAR_010,Noah's Wife,family,yes
CHAR_009,Noah,CHAR_012,Ham,faction-tie,yes
CHAR_009,Noah,CHAR_013,Japheth,faction-tie,yes
CHAR_009,Noah,CHAR_031,Japheth's Wife,faction-tie,yes
CHAR_009,Noah,CHAR_003,Cain,follows,no
CHAR_009,Noah,CHAR_007,Enoch,follows,no
CHAR_009,Noah,CHAR_010,Noah's Wife,follows,no
CHAR_009,Noah,CHAR_030,Ham's Wife,follows,no
CHAR_009,Noah,CHAR_021,Jabal,follows,no
CHAR_009,Noah,CHAR_018,Lamech,follows,no
CHAR_009,Noah,CHAR_912,Nila of Plains,acquaintance,yes
CHAR_009,Noah,CHAR_658,Tirae,acquaintance,yes
CHAR_009,Noah,CHAR_917,Lemia of Garden,acquaintance,yes
CHAR_010,Noah's Wife,CHAR_012,Ham,faction-tie,yes
CHAR_010,Noah's Wife,CHAR_009,Noah,faction-tie,yes
CHAR_010,Noah's Wife,CHAR_011,Shem,faction-tie,yes
CHAR_010,Noah's Wife,CHAR_030,Ham's Wife,faction-tie,yes
CHAR_010,Noah's Wife,CHAR_003,Cain,follows,no
CHAR_010,Noah's Wife,CHAR_004,Abel,follows,no
CHAR_010,Noah's Wife,CHAR_007,Enoch,follows,no
CHAR_010,Noah's Wife,CHAR_009,Noah,follows,no
CHAR_010,Noah's Wife,CHAR_013,Japheth,follows,no
CHAR_010,Noah's Wife,CHAR_005,Seth,follows,no
CHAR_010,Noah's Wife,CHAR_011,Shem,follows,no
CHAR_010,Noah's Wife,CHAR_890,Riba the Washerwoman,acquaintance,yes
CHAR_010,Noah's Wife,CHAR_657,Mekel,acquaintance,yes
CHAR_011,Shem,CHAR_029,Shem's Wife,family,yes
CHAR_011,Shem,CHAR_012,Ham,faction-tie,yes
CHAR_011,Shem,CHAR_030,Ham's Wife,faction-tie,yes
CHAR_011,Shem,CHAR_029,Shem's Wife,faction-tie,yes
CHAR_011,Shem,CHAR_031,Japheth's Wife,faction-tie,yes
CHAR_011,Shem,CHAR_009,Noah,faction-tie,yes
CHAR_011,Shem,CHAR_003,Cain,follows,no
CHAR_011,Shem,CHAR_004,Abel,follows,no
CHAR_011,Shem,CHAR_009,Noah,follows,no
CHAR_011,Shem,CHAR_010,Noah's Wife,follows,no
CHAR_011,Shem,CHAR_022,Jubal,follows,no
CHAR_011,Shem,CHAR_031,Japheth's Wife,follows,no
CHAR_011,Shem,CHAR_008,Methuselah,follows,no
CHAR_011,Shem,CHAR_896,Elnai the Brickmaker,acquaintance,yes
CHAR_011,Shem,CHAR_659,Renan the Elder,acquaintance,yes
CHAR_012,Ham,CHAR_030,Ham's Wife,family,yes
CHAR_012,Ham,CHAR_013,Japheth,faction-tie,yes
CHAR_012,Ham,CHAR_003,Cain,follows,no
CHAR_012,Ham,CHAR_004,Abel,follows,no
CHAR_012,Ham,CHAR_007,Enoch,follows,no
CHAR_012,Ham,CHAR_009,Noah,follows,no
CHAR_012,Ham,CHAR_010,Noah's Wife,follows,no
CHAR_012,Ham,CHAR_008,Methuselah,follows,no
CHAR_012,Ham,CHAR_021,Jabal,follows,no
CHAR_012,Ham,CHAR_029,Shem's Wife,follows,no
CHAR_012,Ham,CHAR_005,Seth,follows,no
CHAR_012,Ham,CHAR_911,Hevel the Baker,acquaintance,yes
CHAR_013,Japheth,CHAR_031,Japheth's Wife,family,yes
CHAR_013,Japheth,CHAR_031,Japheth's Wife,faction-tie,yes
CHAR_013,Japheth,CHAR_010,Noah's Wife,faction-tie,yes
CHAR_013,Japheth,CHAR_030,Ham's Wife,faction-tie,yes
CHAR_013,Japheth,CHAR_011,Shem,faction-tie,yes
CHAR_013,Japheth,CHAR_004,Abel,follows,no
CHAR_013,Japheth,CHAR_007,Enoch,follows,no
CHAR_013,Japheth,CHAR_009,Noah,follows,no
CHAR_013,Japheth,CHAR_010,Noah's Wife,follows,no
CHAR_013,Japheth,CHAR_023,Tubal-Cain,follows,no
CHAR_013,Japheth,CHAR_031,Japheth's Wife,follows,no
CHAR_013,Japheth,CHAR_018,Lamech,follows,no
CHAR_013,Japheth,CHAR_017,Methushael,acquaintance,yes
CHAR_014,Enoch,CHAR_907,Shulit of Nod,faction-tie,yes
CHAR_014,Enoch,CHAR_024,Naamah,faction-tie,yes
CHAR_014,Enoch,CHAR_022,Jubal,faction-tie,yes
CHAR_014,Enoch,CHAR_003,Cain,follows,no
CHAR_014,Enoch,CHAR_004,Abel,follows,no
CHAR_014,Enoch,CHAR_007,Enoch,follows,no
CHAR_014,Enoch,CHAR_009,Noah,follows,no
CHAR_014,Enoch,CHAR_011,Shem,follows,no
CHAR_014,Enoch,CHAR_030,Ham's Wife,follows,no
CHAR_014,Enoch,CHAR_023,Tubal-Cain,follows,no
CHAR_014,Enoch,CHAR_903,Yedem the Vinedresser,acquaintance,yes
CHAR_015,Irad,CHAR_896,Elnai the Brickmaker,faction-tie,yes
CHAR_015,Irad,CHAR_016,Mehujael,faction-tie,yes
CHAR_015,Irad,CHAR_904,Tibel of Nod,faction-tie,yes
CHAR_015,Irad,CHAR_022,Jubal,faction-tie,yes
CHAR_015,Irad,CHAR_890,Riba the Washerwoman,faction-tie,yes
CHAR_015,Irad,CHAR_003,Cain,follows,no
CHAR_015,Irad,CHAR_004,Abel,follows,no
CHAR_015,Irad,CHAR_007,Enoch,follows,no
CHAR_015,Irad,CHAR_009,Noah,follows,no
CHAR_015,Irad,CHAR_010,Noah's Wife,follows,no
CHAR_015,Irad,CHAR_029,Shem's Wife,follows,no
CHAR_015,Irad,CHAR_012,Ham,follows,no
CHAR_015,Irad,CHAR_028,Lamech,follows,no
CHAR_015,Irad,CHAR_030,Ham's Wife,acquaintance,yes
CHAR_016,Mehujael,CHAR_907,Shulit of Nod,faction-tie,yes
CHAR_016,Mehujael,CHAR_021,Jabal,faction-tie,yes
CHAR_016,Mehujael,CHAR_020,Zillah,faction-tie,yes
CHAR_016,Mehujael,CHAR_890,Riba the Washerwoman,faction-tie,yes
CHAR_016,Mehujael,CHAR_889,Maziah of Enoch,faction-tie,yes
CHAR_016,Mehujael,CHAR_655,Doran,faction-tie,yes
CHAR_016,Mehujael,CHAR_003,Cain,follows,no
CHAR_016,Mehujael,CHAR_007,Enoch,follows,no
CHAR_016,Mehujael,CHAR_009,Noah,follows,no
CHAR_016,Mehujael,CHAR_010,Noah's Wife,follows,no
CHAR_016,Mehujael,CHAR_018,Lamech,follows,no
CHAR_016,Mehujael,CHAR_022,Jubal,follows,no
CHAR_016,Mehujael,CHAR_031,Japheth's Wife,follows,no
CHAR_016,Mehujael,CHAR_029,Shem's Wife,follows,no
CHAR_016,Mehujael,CHAR_029,Shem's Wife,acquaintance,yes
CHAR_017,Methushael,CHAR_021,Jabal,faction-tie,yes
CHAR_017,Methushael,CHAR_889,Maziah of Enoch,faction-tie,yes
CHAR_017,Methushael,CHAR_020,Zillah,faction-tie,yes
CHAR_017,Methushael,CHAR_003,Cain,follows,no
CHAR_017,Methushael,CHAR_004,Abel,follows,no
CHAR_017,Methushael,CHAR_009,Noah,follows,no
CHAR_017,Methushael,CHAR_010,Noah's Wife,follows,no
CHAR_017,Methushael,CHAR_018,Lamech,follows,no
CHAR_017,Methushael,CHAR_029,Shem's Wife,follows,no
CHAR_017,Methushael,CHAR_008,Methuselah,follows,no
CHAR_017,Methushael,CHAR_030,Ham's Wife,follows,no
CHAR_017,Methushael,CHAR_027,Jared,acquaintance,yes
CHAR_017,Methushael,CHAR_899,Selka,acquaintance,yes
CHAR_018,Lamech,CHAR_663,Pell,faction-tie,yes
CHAR_018,Lamech,CHAR_909,Doreth the Herb-seller,faction-tie,yes
CHAR_018,Lamech,CHAR_896,Elnai the Brickmaker,faction-tie,yes
CHAR_018,Lamech,CHAR_024,Naamah,faction-tie,yes
CHAR_018,Lamech,CHAR_003,Cain,follows,no
CHAR_018,Lamech,CHAR_007,Enoch,follows,no
CHAR_018,Lamech,CHAR_009,Noah,follows,no
CHAR_018,Lamech,CHAR_010,Noah's Wife,follows,no
CHAR_018,Lamech,CHAR_031,Japheth's Wife,follows,no
CHAR_018,Lamech,CHAR_011,Shem,follows,no
CHAR_018,Lamech,CHAR_012,Ham,acquaintance,yes
CHAR_019,Adah,CHAR_018,Lamech,family,yes
CHAR_019,Adah,CHAR_017,Methushael,faction-tie,yes
CHAR_019,Adah,CHAR_893,Achina of Plains,faction-tie,yes
CHAR_019,Adah,CHAR_665,Kesh,faction-tie,yes
CHAR_019,Adah,CHAR_003,Cain,follows,no
CHAR_019,Adah,CHAR_004,Abel,follows,no
CHAR_019,Adah,CHAR_007,Enoch,follows,no
CHAR_019,Adah,CHAR_010,Noah's Wife,follows,no
CHAR_019,Adah,CHAR_011,Shem,follows,no
CHAR_019,Adah,CHAR_023,Tubal-Cain,follows,no
CHAR_019,Adah,CHAR_030,Ham's Wife,follows,no
CHAR_019,Adah,CHAR_005,Seth,acquaintance,yes
CHAR_020,Zillah,CHAR_018,Lamech,family,yes
CHAR_020,Zillah,CHAR_909,Doreth the Herb-seller,faction-tie,yes
CHAR_020,Zillah,CHAR_907,Shulit of Nod,faction-tie,yes
CHAR_020,Zillah,CHAR_896,Elnai the Brickmaker,faction-tie,yes
CHAR_020,Zillah,CHAR_003,Cain,follows,no
CHAR_020,Zillah,CHAR_004,Abel,follows,no
CHAR_020,Zillah,CHAR_007,Enoch,follows,no
CHAR_020,Zillah,CHAR_010,Noah's Wife,follows,no
CHAR_020,Zillah,CHAR_005,Seth,follows,no
CHAR_020,Zillah,CHAR_013,Japheth,follows,no
CHAR_020,Zillah,CHAR_657,Mekel,acquaintance,yes
CHAR_021,Jabal,CHAR_908,Adva of Enoch,faction-tie,yes
CHAR_021,Jabal,CHAR_893,Achina of Plains,faction-tie,yes
CHAR_021,Jabal,CHAR_024,Naamah,faction-tie,yes
CHAR_021,Jabal,CHAR_022,Jubal,faction-tie,yes
CHAR_021,Jabal,CHAR_003,Cain,follows,no
CHAR_021,Jabal,CHAR_004,Abel,follows,no
CHAR_021,Jabal,CHAR_007,Enoch,follows,no
CHAR_021,Jabal,CHAR_009,Noah,follows,no
CHAR_021,Jabal,CHAR_029,Shem's Wife,follows,no
CHAR_021,Jabal,CHAR_028,Lamech,follows,no
CHAR_021,Jabal,CHAR_022,Jubal,follows,no
CHAR_021,Jabal,CHAR_030,Ham's Wife,follows,no
CHAR_021,Jabal,CHAR_905,Sether the Fisherman,acquaintance,yes
CHAR_022,Jubal,CHAR_890,Riba the Washerwoman,faction-tie,yes
CHAR_022,Jubal,CHAR_003,Cain,faction-tie,yes
CHAR_022,Jubal,CHAR_665,Kesh,faction-tie,yes
CHAR_022,Jubal,CHAR_908,Adva of Enoch,faction-tie,yes
CHAR_022,Jubal,CHAR_003,Cain,follows,no
CHAR_022,Jubal,CHAR_004,Abel,follows,no
CHAR_022,Jubal,CHAR_007,Enoch,follows,no
CHAR_022,Jubal,CHAR_009,Noah,follows,no
CHAR_022,Jubal,CHAR_010,Noah's Wife,follows,no
CHAR_022,Jubal,CHAR_008,Methuselah,follows,no
CHAR_022,Jubal,CHAR_028,Lamech,follows,no
CHAR_022,Jubal,CHAR_005,Seth,follows,no
CHAR_022,Jubal,CHAR_018,Lamech,follows,no
CHAR_022,Jubal,CHAR_903,Yedem the Vinedresser,acquaintance,yes
CHAR_022,Jubal,CHAR_906,Nesi of Enoch,acquaintance,yes
CHAR_022,Jubal,CHAR_899,Selka,acquaintance,yes
CHAR_023,Tubal-Cain,CHAR_892,Roni of Plains,faction-tie,yes
CHAR_023,Tubal-Cain,CHAR_014,Enoch,faction-tie,yes
CHAR_023,Tubal-Cain,CHAR_020,Zillah,faction-tie,yes
CHAR_023,Tubal-Cain,CHAR_003,Cain,follows,no
CHAR_023,Tubal-Cain,CHAR_004,Abel,follows,no
CHAR_023,Tubal-Cain,CHAR_007,Enoch,follows,no
CHAR_023,Tubal-Cain,CHAR_009,Noah,follows,no
CHAR_023,Tubal-Cain,CHAR_010,Noah's Wife,follows,no
CHAR_023,Tubal-Cain,CHAR_022,Jubal,follows,no
CHAR_023,Tubal-Cain,CHAR_018,Lamech,follows,no
CHAR_023,Tubal-Cain,CHAR_901,Penit of Nod,acquaintance,yes
CHAR_023,Tubal-Cain,CHAR_912,Nila of Plains,acquaintance,yes
CHAR_023,Tubal-Cain,CHAR_027,Jared,acquaintance,yes
CHAR_024,Naamah,CHAR_665,Kesh,faction-tie,yes
CHAR_024,Naamah,CHAR_890,Riba the Washerwoman,faction-tie,yes
CHAR_024,Naamah,CHAR_892,Roni of Plains,faction-tie,yes
CHAR_024,Naamah,CHAR_909,Doreth the Herb-seller,faction-tie,yes
CHAR_024,Naamah,CHAR_889,Maziah of Enoch,faction-tie,yes
CHAR_024,Naamah,CHAR_003,Cain,follows,no
CHAR_024,Naamah,CHAR_004,Abel,follows,no
CHAR_024,Naamah,CHAR_007,Enoch,follows,no
CHAR_024,Naamah,CHAR_009,Noah,follows,no
CHAR_024,Naamah,CHAR_012,Ham,follows,no
CHAR_024,Naamah,CHAR_022,Jubal,follows,no
CHAR_024,Naamah,CHAR_011,Shem,follows,no
CHAR_024,Naamah,CHAR_021,Jabal,follows,no
CHAR_024,Naamah,CHAR_888,Ravsem of Garden,acquaintance,yes
CHAR_025,Kenan,CHAR_891,Doreth of Enoch,faction-tie,yes
CHAR_025,Kenan,CHAR_007,Enoch,faction-tie,yes
CHAR_025,Kenan,CHAR_916,Gader the Smith,faction-tie,yes
CHAR_025,Kenan,CHAR_008,Methuselah,faction-tie,yes
CHAR_025,Kenan,CHAR_028,Lamech,faction-tie,yes
CHAR_025,Kenan,CHAR_006,Enosh,faction-tie,yes
CHAR_025,Kenan,CHAR_003,Cain,follows,no
CHAR_025,Kenan,CHAR_004,Abel,follows,no
CHAR_025,Kenan,CHAR_007,Enoch,follows,no
CHAR_025,Kenan,CHAR_009,Noah,follows,no
CHAR_025,Kenan,CHAR_029,Shem's Wife,follows,no
CHAR_025,Kenan,CHAR_018,Lamech,follows,no
CHAR_025,Kenan,CHAR_011,Shem,follows,no
CHAR_025,Kenan,CHAR_013,Japheth,follows,no
CHAR_025,Kenan,CHAR_666,Bira,acquaintance,yes
CHAR_026,Mahalalel,CHAR_008,Methuselah,faction-tie,yes
CHAR_026,Mahalalel,CHAR_906,Nesi of Enoch,faction-tie,yes
CHAR_026,Mahalalel,CHAR_912,Nila of Plains,faction-tie,yes
CHAR_026,Mahalalel,CHAR_658,Tirae,faction-tie,yes
CHAR_026,Mahalalel,CHAR_003,Cain,follows,no
CHAR_026,Mahalalel,CHAR_004,Abel,follows,no
CHAR_026,Mahalalel,CHAR_007,Enoch,follows,no
CHAR_026,Mahalalel,CHAR_009,Noah,follows,no
CHAR_026,Mahalalel,CHAR_018,Lamech,follows,no
CHAR_026,Mahalalel,CHAR_021,Jabal,follows,no
CHAR_026,Mahalalel,CHAR_012,Ham,follows,no
CHAR_026,Mahalalel,CHAR_031,Japheth's Wife,acquaintance,yes
CHAR_026,Mahalalel,CHAR_012,Ham,acquaintance,yes
CHAR_027,Jared,CHAR_005,Seth,faction-tie,yes
CHAR_027,Jared,CHAR_891,Doreth of Enoch,faction-tie,yes
CHAR_027,Jared,CHAR_659,Renan the Elder,faction-tie,yes
CHAR_027,Jared,CHAR_658,Tirae,faction-tie,yes
CHAR_027,Jared,CHAR_911,Hevel the Baker,faction-tie,yes
CHAR_027,Jared,CHAR_003,Cain,follows,no
CHAR_027,Jared,CHAR_004,Abel,follows,no
CHAR_027,Jared,CHAR_007,Enoch,follows,no
CHAR_027,Jared,CHAR_009,Noah,follows,no
CHAR_027,Jared,CHAR_031,Japheth's Wife,follows,no
CHAR_027,Jared,CHAR_012,Ham,follows,no
CHAR_027,Jared,CHAR_012,Ham,acquaintance,yes
CHAR_028,Lamech,CHAR_659,Renan the Elder,faction-tie,yes
CHAR_028,Lamech,CHAR_006,Enosh,faction-tie,yes
CHAR_028,Lamech,CHAR_912,Nila of Plains,faction-tie,yes
CHAR_028,Lamech,CHAR_906,Nesi of Enoch,faction-tie,yes
CHAR_028,Lamech,CHAR_007,Enoch,faction-tie,yes
CHAR_028,Lamech,CHAR_003,Cain,follows,no
CHAR_028,Lamech,CHAR_004,Abel,follows,no
CHAR_028,Lamech,CHAR_007,Enoch,follows,no
CHAR_028,Lamech,CHAR_010,Noah's Wife,follows,no
CHAR_028,Lamech,CHAR_021,Jabal,follows,no
CHAR_028,Lamech,CHAR_011,Shem,follows,no
CHAR_028,Lamech,CHAR_023,Tubal-Cain,follows,no
CHAR_028,Lamech,CHAR_895,Sela the Homemaker,acquaintance,yes
CHAR_028,Lamech,CHAR_889,Maziah of Enoch,acquaintance,yes
CHAR_028,Lamech,CHAR_904,Tibel of Nod,acquaintance,yes
CHAR_029,Shem's Wife,CHAR_010,Noah's Wife,faction-tie,yes
CHAR_029,Shem's Wife,CHAR_009,Noah,faction-tie,yes
CHAR_029,Shem's Wife,CHAR_666,Bira,faction-tie,yes
CHAR_029,Shem's Wife,CHAR_012,Ham,faction-tie,yes
CHAR_029,Shem's Wife,CHAR_004,Abel,follows,no
CHAR_029,Shem's Wife,CHAR_007,Enoch,follows,no
CHAR_029,Shem's Wife,CHAR_009,Noah,follows,no
CHAR_029,Shem's Wife,CHAR_010,Noah's Wife,follows,no
CHAR_029,Shem's Wife,CHAR_012,Ham,follows,no
CHAR_029,Shem's Wife,CHAR_008,Methuselah,follows,no
CHAR_029,Shem's Wife,CHAR_013,Japheth,follows,no
CHAR_029,Shem's Wife,CHAR_030,Ham's Wife,follows,no
CHAR_029,Shem's Wife,CHAR_003,Cain,acquaintance,yes
CHAR_029,Shem's Wife,CHAR_655,Doran,acquaintance,yes
CHAR_030,Ham's Wife,CHAR_666,Bira,faction-tie,yes
CHAR_030,Ham's Wife,CHAR_009,Noah,faction-tie,yes
CHAR_030,Ham's Wife,CHAR_029,Shem's Wife,faction-tie,yes
CHAR_030,Ham's Wife,CHAR_031,Japheth's Wife,faction-tie,yes
CHAR_030,Ham's Wife,CHAR_004,Abel,follows,no
CHAR_030,Ham's Wife,CHAR_007,Enoch,follows,no
CHAR_030,Ham's Wife,CHAR_010,Noah's Wife,follows,no
CHAR_030,Ham's Wife,CHAR_012,Ham,follows,no
CHAR_030,Ham's Wife,CHAR_013,Japheth,follows,no
CHAR_030,Ham's Wife,CHAR_022,Jubal,follows,no
CHAR_030,Ham's Wife,CHAR_023,Tubal-Cain,follows,no
CHAR_030,Ham's Wife,CHAR_019,Adah,acquaintance,yes
CHAR_030,Ham's Wife,CHAR_025,Kenan,acquaintance,yes
CHAR_030,Ham's Wife,CHAR_656,Yannah,acquaintance,yes
CHAR_031,Japheth's Wife,CHAR_003,Cain,follows,no
CHAR_031,Japheth's Wife,CHAR_004,Abel,follows,no
CHAR_031,Japheth's Wife,CHAR_009,Noah,follows,no
CHAR_031,Japheth's Wife,CHAR_010,Noah's Wife,follows,no
CHAR_031,Japheth's Wife,CHAR_008,Methuselah,follows,no
CHAR_031,Japheth's Wife,CHAR_029,Shem's Wife,follows,no
CHAR_031,Japheth's Wife,CHAR_021,Jabal,follows,no
CHAR_031,Japheth's Wife,CHAR_665,Kesh,acquaintance,yes
CHAR_031,Japheth's Wife,CHAR_890,Riba the Washerwoman,acquaintance,yes
CHAR_031,Japheth's Wife,CHAR_909,Doreth the Herb-seller,acquaintance,yes
CHAR_032,Gomer,CHAR_013,Japheth,family,yes
CHAR_032,Gomer,CHAR_931,Maon the Trader,faction-tie,yes
CHAR_032,Gomer,CHAR_063,Elishah,faction-tie,yes
CHAR_032,Gomer,CHAR_060,Ashkenaz,faction-tie,yes
CHAR_032,Gomer,CHAR_061,Riphath,faction-tie,yes
CHAR_032,Gomer,CHAR_064,Tarshish,faction-tie,yes
CHAR_032,Gomer,CHAR_057,Tubal,faction-tie,yes
CHAR_032,Gomer,CHAR_047,Nahor (Elder),follows,no
CHAR_032,Gomer,CHAR_041,Shelah,follows,no
CHAR_032,Gomer,CHAR_045,Reu,follows,no
CHAR_032,Gomer,CHAR_046,Serug,follows,no
CHAR_032,Gomer,CHAR_072,Sheba (Raamah),acquaintance,yes
CHAR_033,Magog,CHAR_013,Japheth,family,yes
CHAR_033,Magog,CHAR_056,Madai,faction-tie,yes
CHAR_033,Magog,CHAR_062,Togarmah,faction-tie,yes
CHAR_033,Magog,CHAR_919,Lirat of Shinar,faction-tie,yes
CHAR_033,Magog,CHAR_040,Arphaxad,follows,no
CHAR_033,Magog,CHAR_047,Nahor (Elder),follows,no
CHAR_033,Magog,CHAR_104,Hadoram,acquaintance,yes
CHAR_033,Magog,CHAR_927,Yola of Foothills,acquaintance,yes
CHAR_033,Magog,CHAR_092,Elam,acquaintance,yes
CHAR_034,Javan,CHAR_013,Japheth,family,yes
CHAR_034,Javan,CHAR_063,Elishah,faction-tie,yes
CHAR_034,Javan,CHAR_033,Magog,faction-tie,yes
CHAR_034,Javan,CHAR_922,Elnai the Fowler,faction-tie,yes
CHAR_034,Javan,CHAR_059,Tiras,faction-tie,yes
CHAR_034,Javan,CHAR_042,Eber,follows,no
CHAR_034,Javan,CHAR_045,Reu,follows,no
CHAR_034,Javan,CHAR_089,The Arvadite,acquaintance,yes
CHAR_035,Cush,CHAR_012,Ham,family,yes
CHAR_035,Cush,CHAR_039,Nimrod,family,yes
CHAR_035,Cush,CHAR_085,The Girgashite,faction-tie,yes
CHAR_035,Cush,CHAR_084,The Amorite,faction-tie,yes
CHAR_035,Cush,CHAR_079,Casluhim,faction-tie,yes
CHAR_035,Cush,CHAR_038,Canaan,faction-tie,yes
CHAR_035,Cush,CHAR_083,The Jebusite,faction-tie,yes
CHAR_035,Cush,CHAR_042,Eber,follows,no
CHAR_035,Cush,CHAR_041,Shelah,follows,no
